,FILER,EIN,styear,ASCD,INCCD,ACTIVCD1,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,SUBSECCD,POPCODE,REASON,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,v_errorCd,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
12378,990.0,130453230,1988,7,7,919,0,3240272,0,0,70279,0,0,0,1375844,1375844,4616116,4391373,-92968,625520,0,1585335,1868976,1872993,1961944,-92968,0,0,0,0,0,0,0,0,0,0,6,1,0,N,ASSOC NAT ADVERTISERS,NEW YORK,NY,10017-4201,10017.0,36061.0,A30,A,10017.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.58343,,,Z99,C,,36061.0,198911,198911,1989,NY,10017.0,NEW YORK,S41,A,11,919.0,205.0,0.0,155 E 44TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,5.0,4208.0,,PC,O,AR,A,IN,,S41,S,813910.0
12389,,130508050,1988,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,N,BOHEMIAN BENEVOLENT & LITERARY ASSOC NEW YORK CITY,NEW YORK,NY,10021-3705,10021.0,36061.0,A70,A,10021.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.14196,C,,A76,C,,36061.0,198906,198906,1989,NY,10021.0,NEW YORK,A23,B,6,298.0,318.0,319.0,321 E 73RD ST,3.0,0.0,3000.0,JAN HIRD POKORNY PRESIDENT,2.0,13.0,0.0,10.0,0.0,5.0,6501.0,TY,PC,O,AR,A,IN,,A23,A,710000.0
12464,990.0,130872850,1989,5,6,279,0,605625,0,0,13395,0,0,0,105684,105684,711309,706013,321782,61477,0,317879,322640,1393,858,0,0,0,0,0,0,0,0,0,0,0,5,1,0,N,INTL PHOTO LOCAL 644 IATSE,NEW YORK,NY,10018-6505,10018.0,36061.0,A65,A,,5602.0,5600.0,,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.27335,,,Z99,C,,,199005,199005,1990,NY,,NEW YORK,A65,A,5,279.0,268.0,0.0,505 EIGHTH AVE,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4104.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,J40,J,813930.0
12476,990.0,130951470,1988,7,7,119,10000,1134173,0,0,91141,0,0,0,576299,576299,1720472,1306886,1185194,252452,0,1024793,1473024,252021,287830,0,0,0,0,0,3525,0,0,0,0,0,6,1,0,N,LEAGUE AMER THEATRES & PRODUCERS,NEW YORK,NY,10036-1413,10036.0,36061.0,A99,A,10036.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.9029299999999999,,,Z99,C,,36061.0,198908,198908,1989,NY,10036.0,NEW YORK,A0365,A,8,119.0,205.0,279.0,226 W 47TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4210.0,,PC,O,AR,A,IN,,A0365,A,813920.0
12479,990.0,130971750,1989,4,5,119,7051,3753,0,0,77,0,0,0,252183,252183,262987,252761,33939,0,0,42614,43235,13245,9296,0,0,0,0,0,0,0,0,0,0,0,7,1,8,N,LIEDERKRANZ CITY NEW YORK,NEW YORK,NY,10128-0505,10128.0,36061.0,A6A,A,10128.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.87287,N,,A6A,A,,36061.0,199006,199006,1990,NY,10128.0,NEW YORK,A6A,A,6,119.0,916.0,318.0,6 E 87TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3907.0,,PC,O,AR,A,IN,,A6A,A,711130.0
12521,990.0,131087160,1989,7,7,200,521756,4860517,779578,621313,295756,0,0,0,2627875,2006562,8010148,6583773,3864077,1153431,0,3059015,3864077,0,0,3864077,0,0,0,0,0,0,0,0,0,0,6,1,0,N,MAGAZINE PUBLISHERS AMERICA,NEW YORK,NY,10022-3801,10022.0,36061.0,A01,A,10022.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.78722,,,Z99,C,,36061.0,198912,198912,1989,NY,10022.0,NEW YORK,A33,A,12,200.0,0.0,0.0,919 THIRD AVE 22ND FL,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4209.0,,PC,O,AR,A,IN,,A0333,A,813920.0
12534,990.0,131101367,1988,4,5,200,0,56812,0,0,4233,0,37935,-332,111236,73301,168048,120955,55841,0,0,56104,65231,9421,9390,55841,0,0,0,0,0,0,0,0,0,0,6,1,0,Y,NEW YORK SOC ARCHITECTS,NEW YORK,NY,10001-6708,10001.0,36061.0,A01,A,10001.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.9274399999999999,,,Z99,C,,36061.0,198911,198911,1989,NY,10001.0,NEW YORK,A03,B,11,200.0,205.0,0.0,275 SEVENTH AVE 15TH FLR,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4208.0,,PC,O,AR,A,IN,,A03,A,813920.0
12590,990.0,131374145,1989,6,6,200,0,299962,0,0,33082,0,0,0,278413,278413,578375,410431,530268,60000,0,490083,530267,1866,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,Y,TEXTILE DISTRIBUTORS ASSOC,NEW YORK,NY,10018-7904,10018.0,36061.0,A01,A,10018.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.9864299999999999,,,Z99,C,,36061.0,198912,198912,1989,NY,10018.0,NEW YORK,A40,A,12,200.0,279.0,0.0,45 W 36TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4409.0,,PC,O,AR,A,IN,,A40,A,710000.0
12600,990.0,131394480,1989,6,6,205,0,512604,0,0,27056,0,7636,7855,351181,343545,863785,916249,120330,99660,0,370162,609777,189732,489447,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,TRAFFIC AUDIT BUREAU MEDIA MEASUREMENT,NEW YORK,NY,10170-2599,10170.0,36061.0,A01,A,10170.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.80919,,,Z99,C,,36061.0,198912,198912,1989,NY,10170.0,NEW YORK,A30,B,12,205.0,0.0,0.0,420 LEXINGTON AVE 2520,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5501.0,,PC,O,AR,A,IN,,A30,A,510000.0
12610,990.0,131406872,1989,3,4,263,0,75445,0,0,0,0,0,0,0,0,75445,39749,-10940,0,0,6357,16200,58122,27140,0,0,0,0,0,0,0,0,0,0,0,5,1,0,N,INTL ALLIANCE THEATRICAL STAGE EMP & MVG PIC MACH OP US&CAN,BRONX,NY,10036-5701,10036.0,36061.0,A65,A,,5602.0,5600.0,,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.71433,,,Z99,C,,,198912,198912,1989,NY,,BRONX,A65,A,12,263.0,0.0,0.0,1515 BROADWAY 601,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4407.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,A65,A,711110.0
12642,990.0,131505524,1988,6,7,205,0,433033,521269,497784,57592,0,51881,14234,671124,121459,1104157,710064,595628,76534,0,890303,805663,153687,210035,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,AMER INST ARCHITECTS N Y CHAPTER,NEW YORK,NY,10016-6186,10016.0,36061.0,A40,A,10016.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.95301,N,,A40,B,,36061.0,198812,198812,1988,NY,10016.0,NEW YORK,A40,B,12,205.0,40.0,279.0,200 LEXINGTON AVE RM 602,0.0,0.0,1000.0,,2.0,13.0,11.0,10.0,0.0,1.0,4208.0,N Y CHAPTER,PC,O,AR,A,IN,,A40,A,710000.0
12656,990.0,131520977,1989,4,4,119,0,41938,0,0,0,0,0,0,0,0,41938,28155,65876,0,0,52093,65876,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,ART & ANTIQUE DEALERS LEAGUE AMERICA,NEW YORK,NY,10021-1313,10021.0,36061.0,A01,A,10021.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.9041899999999999,,,Z99,B,,36061.0,199009,199009,1990,NY,10021.0,NEW YORK,A0380,A,9,119.0,0.0,0.0,353 E 78TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7601.0,,PC,O,AR,A,IN,,A0380,A,813920.0
12665,,131530748,1988,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,N,CINEMA RADIO TV UNIT 6000,NEW YORK,NY,10036-7209,10036.0,36061.0,A32,A,10036.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.121,,,Z99,C,,36061.0,198812,198812,1988,NY,10036.0,NEW YORK,A32,A,12,59.0,29.0,349.0,229 W 42ND ST,9.0,0.0,1000.0,,1.0,13.0,0.0,20.0,947.0,5.0,4606.0,,PC,O,AR,A,IN,,A32,A,513120.0
12693,990.0,131572247,1988,5,6,119,0,167697,0,0,6962,0,208509,286309,501780,293271,669477,410532,189748,0,0,357510,353655,218198,163907,0,13225,14379,0,0,0,0,0,0,0,0,7,1,0,Y,METRO OPERA CLUB,NEW YORK,NY,10023-0000,10023.0,36061.0,A11,A,10023.0,5602.0,5600.0,36061.0,O,S,ZA,A,A,IN,,1,AR,AR,AR,0.21941999999999998,N,,A11,A,,36061.0,198907,198907,1989,NY,10023.0,NEW YORK,A11,A,7,119.0,319.0,0.0,LINCOLN CENTER,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4608.0,,PC,S,ZA,A,IN,,A11,A,813219.0
12704,990.0,131583260,1989,6,5,919,0,398313,0,0,43455,0,0,0,43455,43455,441768,419976,146613,161081,0,512472,635119,387651,488506,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,STATION REPRESENTATIVES ASSOC,NEW YORK,NY,10169-0005,10169.0,36061.0,A30,A,10169.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.20525,,,Z99,C,,36061.0,199006,199006,1990,NY,10169.0,NEW YORK,A01,C,6,919.0,200.0,0.0,230 PARK AVE,3.0,0.0,2000.0,KATZ MEDIA J BELOYIANIS,2.0,13.0,0.0,10.0,0.0,1.0,6910.0,,PC,O,AR,A,IN,,A01,A,813319.0
12773,990.0,131673348,1989,6,4,908,0,1186,15087,6105,21138,0,0,0,36225,30120,37411,37245,796533,0,0,712504,797258,535,725,6534,0,0,0,0,0,0,0,0,0,0,4,1,0,N,OLD GUARD CITY NEW YORK,NEW YORK,NY,10024-1001,10024.0,36061.0,A82,A,10024.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.12979000000000002,,,Z99,A,,36061.0,199002,199002,1990,NY,10024.0,NEW YORK,W20,C,2,908.0,0.0,0.0,307 W 91ST ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5203.0,,PC,O,AR,A,IN,,W20,W,813410.0
12986,990.0,131769475,1989,5,4,319,0,5600,0,0,20053,0,0,0,68629,68629,74229,29109,229850,0,0,244292,258702,24792,28852,0,0,0,0,0,0,0,0,0,0,0,4,1,0,N,THEATRICAL MUTUAL ASSOC NEW YORK LODGE 1,NYC,NY,10019-0000,10019.0,36061.0,A65,A,10019.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.08631,,,Z99,C,,36061.0,198912,198912,1989,NY,10019.0,NYC,A65,B,12,319.0,0.0,0.0,211 W 53RD ST,3.0,0.0,3000.0,,2.0,13.0,0.0,20.0,0.0,1.0,5504.0,,PC,O,AR,A,IN,,A65,A,711110.0
13000,990.0,131783842,1989,5,5,200,0,289673,0,0,13674,0,0,0,13674,13674,303347,251074,141503,0,0,77398,130077,-11832,-11426,141503,0,0,0,0,0,0,0,0,0,0,6,1,0,N,ANTIQUARIAN BOOKSELLERS ASSOC AMERICA SHOP 2 CONCOURSE,NEW YORK,NY,10020-1605,10020.0,36061.0,A03,A,10020.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.53283,N,,A03,A,,36061.0,198912,198912,1989,NY,10020.0,NEW YORK,A0333,A,12,200.0,0.0,0.0,50 ROCKERFELLER PLAZA,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5109.0,2 CONCOURSE,PC,O,AR,A,IN,,A0333,A,813920.0
13018,990.0,131813049,1989,3,5,123,125662,0,0,0,1041,16848,0,0,35652,35652,161314,165136,-5924,24005,0,16324,23003,18426,28927,0,0,0,0,0,0,0,0,0,0,0,4,1,0,N,AMER COMM AFRICA,NEW YORK,NY,10038-4010,10038.0,36061.0,A70,A,10038.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.050089999999999996,,,Z99,C,,36061.0,198912,198912,1989,NY,10038.0,NEW YORK,A70,C,12,123.0,124.0,480.0,17 JOHN STREET 12TH FLOOR,3.0,0.0,3000.0,AFRICA ACTION,2.0,13.0,0.0,10.0,0.0,1.0,7911.0,,PC,O,AR,A,IN,,A70,A,710000.0
13033,990.0,131830960,1988,5,7,205,0,75340,0,0,3749,0,0,0,1028021,1028021,1103361,1087101,-8815,0,0,218571,123478,243646,132293,0,0,0,0,0,0,0,0,0,0,0,6,1,0,Y,INTL RADIO & TELEVISION SOC,NEW YORK,NY,10170-0002,10170.0,36061.0,A32,A,,5602.0,5600.0,,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.72501,,,Z99,C,,,198812,198812,1988,NY,,NEW YORK,A32,A,12,205.0,120.0,0.0,420 LEXINGTON AVE,3.0,,2000.0,,,,0.0,,,,5406.0,,PC,O,AR,A,IN,,A32,A,513120.0
13048,990.0,131841248,1988,7,6,265,0,0,0,0,69029,0,0,0,908770,908770,908770,966673,708363,0,0,1023775,1095732,257509,387369,0,0,0,0,0,0,0,0,0,0,0,9,1,0,N,INTL PHOTOGRAPHERS 644 WELFARE FND,NEW YORK,NY,10011-5126,10011.0,36061.0,A40,A,10011.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.88079,,,Z99,C,,36061.0,198908,198908,1989,NY,10011.0,NEW YORK,A40,A,8,265.0,0.0,0.0,505 EIGHTH AVE,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,5.0,5811.0,,PC,O,AR,A,IN,,A40,A,710000.0
13085,990.0,131866133,1989,4,5,263,0,129904,0,0,241,0,0,0,6241,6241,136145,140996,20307,0,0,32853,26733,7695,6426,20307,0,0,0,0,0,0,0,0,0,0,5,1,0,N,INTL ALLIANCE THEATRICAL STAGE EMP & MVG PIC MACH OP US&CAN,NEW YORK,NY,10018-6505,10018.0,36061.0,A65,A,,5602.0,5600.0,,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.70782,,,Z99,C,,,198912,198912,1989,NY,,NEW YORK,A65,A,12,263.0,0.0,0.0,505 EIGHTH AVE 16TH FLR,9.0,,3000.0,,,,0.0,,,,6205.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,A65,A,711110.0
