,EIN,FisYr,STYEAR,CODE990,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2TASFMV,P2CASHBV,P2MORTG
3394,112668888,1989,1989,3,1,1,90,1710,0,0,0,0,0,3121,0,0,4831,4704,127,4665,0,0,0,147,0,0,147,0,4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ARGENTINE & IBEROAMERICAN FOLK ART FND,NEW YORK,NY,10024-2941,Z,Z99,0.026585700000000004,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10024.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1224,A,,,
3447,112725074,1988,1988,3,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MANHATTAN PERFORMANCE GROUP,NEW YORK,NY,10011-5606,Z,Z99,0.374587,36061.0,10011.0,10011.0,5602.0,5600.0,36061.0,,,,198812,198812,NY,10011.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A60,A,,,
3463,112743930,1988,1988,3,1,3,398,44574,0,0,0,0,0,0,0,0,44574,48519,-3945,48519,0,0,0,4368,0,4139,4368,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ANNIROC RESTORATION,BROOKLYN,NY,11207-7301,Z,Z99,0.662421,36047.0,11207.0,11207.0,5602.0,5600.0,36047.0,4.0,,8510.0,198812,198812,NY,11207.0,BROOKLYN,PF,O,UN,Z,IN,,12,400.0,0.0,685 JEROME ST,3.0,,1000.0,,,,,,,,Z,UN,UN,OT,3.0,,,,,,,A80,A,,,
3469,112764785,1988,1988,3,3,1,602,1460,2003,0,0,0,0,0,0,1500,3463,1500,1963,1500,2003,20,0,31640,0,0,31640,26,1494,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ARLENE TOPAL CREATIVE ARTS FIND,BROOKLYN,NY,11201-0000,Z,Z99,0.535842,36047.0,11201.0,11201.0,5602.0,5600.0,36047.0,,,,198812,198812,NY,11201.0,BROOKLYN,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A99,A,,,
3481,112780069,1990,1990,3,3,4,91,265592,10674,0,0,0,529,12320,49935,14484,289115,237011,52104,147819,10574,106,0,69097,0,7981,69097,0,8259,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,EAST HAMPTON CTR CONTEMPORARY ART,NEW YORK,NY,10007-3001,Z,Z99,0.7121149999999999,36061.0,10007.0,10007.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10007.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A20,A,,,
3589,112942428,1990,1990,3,1,2,90,14000,0,0,0,0,0,0,0,0,14000,14740,-740,12940,0,0,0,4993,0,0,4993,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PODVAL ARTS & POETRY GALLERIES,BROOKLYN,NY,11235-5841,Z,Z99,0.9098040000000001,36047.0,11235.0,11235.0,5602.0,5600.0,36047.0,4.0,,198903.0,199012,199012,NY,11235.0,BROOKLYN,PF,O,UN,Z,IN,,12,0.0,0.0,150 BRIGHTON 15TH ST,3.0,0.0,1000.0,V MOLOT ESQ,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,,
3595,112948645,1991,1990,3,4,2,602,2500,8728,0,0,0,0,0,0,28500,11228,29925,-18697,29925,8728,0,0,145150,0,0,145150,0,7584,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,WORLD JOURNAL CULTURE FND,FLUSHING,NY,11354-0000,Z,Z99,0.545901,36081.0,11354.0,11354.0,5602.0,5600.0,36081.0,4.0,,198909.0,199106,199106,NY,11354.0,FLUSHING,PF,O,UN,Z,IN,,6,0.0,0.0,141 07 20TH AVE,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
3619,112994852,1990,1990,3,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,JUDAICA FND RES & PUBLICATION,NEW YORK,NY,10038-2400,Z,Z99,0.806561,36061.0,10038.0,10038.0,5602.0,5600.0,36061.0,4.0,,9106.0,199012,199012,NY,10038.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,245 PARK AVE 1600,3.0,0.0,1000.0,% HAVAZELET,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
3830,116036776,1991,1990,3,4,2,119,18060,63,0,0,0,0,0,0,0,18123,20675,-2552,11558,63,1,0,454897,0,6558,454897,0,1086,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ANONYMOUS ARTS RECOVERY SOC,NEW YORK,NY,10012-5115,Z,Z99,0.0319983,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,3.0,,196311.0,199103,199103,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,3,91.0,0.0,380 W BROADWAY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A03,A,,,
3945,116101563,1990,1989,3,1,1,119,2830,0,0,0,0,323,0,0,0,3153,2905,248,1687,0,0,0,413,0,0,413,0,16,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FND CLASSIC THEATRE & ACAD,NEW YORK,NY,10036-7211,Z,Z99,0.214211,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,4.0,,196805.0,199006,199006,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,6,59.0,0.0,220 W 42ND ST,3.0,0.0,2300.0,% N J STATHIS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,,
3984,130429640,1990,1990,2,8,8,65,303813,0,1589139,574966,0,0,434275,60000,572785,2902193,1651760,1250433,1587254,2455411,0,1880445,24442506,24335841,0,23817290,0,1181159,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,AMER ACAD ARTS & LETTERS,NEW YORK,NY,10032-7501,Z,Z99,0.0164012,36061.0,10032.0,10032.0,5602.0,5600.0,36061.0,2.0,,193503.0,199012,199012,NY,10032.0,NEW YORK,PF,O,UN,Z,IN,,12,207.0,60.0,633 W 155TH ST,3.0,0.0,2300.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A25,A,,,
3999,131624012,1990,1990,2,9,9,119,18679099,164442,4566404,4968171,0,303060,565007,220000,0,29246183,7888864,21357319,7016968,9243333,92433,5013009,97607947,84018998,702975,109088660,0,3787566,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,FRICK COLLECTION,NEW YORK,NY,10021-4907,Z,Z99,0.129668,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,193910.0,199012,199012,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,59.0,60.0,1 E 70TH ST,3.0,0.0,1200.0,,1.0,13.0,1.0,0.0,3.0,,Z,UN,UN,OT,3.0,,,,,,,A51,A,,,
4018,131656673,1990,1989,2,6,5,119,167420,0,74257,11278,0,0,112437,34249,11581,365392,322609,42783,263301,26227,525,127386,1095956,0,11838,1482346,0,74608,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NAT SCULPTURE SOC,NEW YORK,NY,10036-2714,Z,Z99,0.44591099999999995,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,3.0,,193901.0,199009,199009,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,9,59.0,40.0,1177 AVE OF THE AMERICAS,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,,
4047,131790739,1990,1989,3,6,5,561,140730,8245,101560,101182,0,0,0,25091,90247,351717,157245,194472,114325,194552,3891,69798,1327459,0,354,1322329,0,62867,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,MUSICIANS FND,NEW YORK,NY,10001-3507,Z,Z99,0.670673,36061.0,10001.0,10001.0,5602.0,5600.0,36061.0,4.0,,195305.0,199004,199004,NY,10001.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,200 W 55TH ST,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
4068,131873289,1990,1990,3,6,4,119,52350,349,79342,0,-11146,0,0,0,58800,120895,105863,15032,90052,64007,640,0,1024199,878132,291,1308371,16103,63492,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,BAGBY FND MUSICAL ARTS,NEW YORK,NY,10017-6103,A,A50,0.299611,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,194211.0,199012,199012,NY,10017.0,NEW YORK,PF,O,AR,A,IN,,12,927.0,561.0,501 FIFTH AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A68,A,,,
4082,131925857,1988,1988,3,1,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,THEATRE GUILD FND,NEW YORK,NY,10036-1413,Z,Z99,0.00951811,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,,,,198812,198812,NY,10036.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A65,A,,,
4083,131926551,1990,1990,3,7,5,119,100000,19175,492584,210870,0,0,291,114158,508989,822920,804759,18161,628209,884127,17683,0,9167519,7950800,39778,10439430,0,521255,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,HARKNESS FND DANCE,NEW YORK,NY,10017-1259,Z,Z99,0.080053,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197903.0,199012,199012,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,145 E 48TH ST SUITE 26C,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,,
4085,131933437,1989,1989,2,0,1,119,2537,31,0,0,0,0,0,0,6650,2568,11075,-8507,11075,2568,51,2568,0,0,0,0,0,64,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MUSICA AETERNA,NEW YORK,NY,10169-0007,Z,Z99,0.618395,36061.0,10169.0,10169.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10169.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,,
4091,131947036,1991,1990,2,1,3,119,27552,2,35,0,0,0,21672,0,0,49261,46326,2935,25075,37,1,0,2105,180,7750,3022,0,150,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,AMOR ARTIS,NEW YORK,NY,10028-0040,Z,Z99,0.471025,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,3.0,,196311.0,199104,199104,NY,10028.0,NEW YORK,PF,O,UN,Z,IN,,4,59.0,0.0,175 RIVERSIDE DR,3.0,0.0,1200.0,% JEAN CANNON APT 5H,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,,
4126,132509763,1990,1990,3,1,0,602,0,0,0,0,0,0,0,0,1500,0,1716,-1716,1716,0,0,0,1772,0,0,1772,0,130,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ARTISTS CIVIL RIGHTS ASSISTANCE FND,BROOKLYN,NY,11215-3701,Z,Z99,0.8418760000000001,36047.0,11215.0,11215.0,5602.0,5600.0,36047.0,,,,199012,199012,NY,11215.0,BROOKLYN,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A02,A,,,
4173,132621140,1990,1990,3,3,2,161,12754,0,0,0,0,0,0,0,5000,13521,12240,1281,7440,0,0,0,44014,0,0,231274,0,12000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,VIOLA W BERNARD FND,NEW YORK,NY,10021-2651,Z,Z99,0.41330600000000006,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,196812.0,199012,199012,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,180.0,602.0,930 FIFTH AVE,3.0,0.0,1000.0,% HARRY GOODKIN & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
4242,132760185,1990,1989,2,4,3,8,41500,0,0,0,0,9031,0,0,0,50531,52196,-1665,0,0,0,0,180798,0,7183,179268,0,176,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,EAKINS PRESS FND,NEW YORK,NY,10023-6226,Z,Z99,0.113728,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197404.0,199006,199006,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,15 W 67TH ST,3.0,0.0,1000.0,%LESLIE KATZ,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
4277,132874843,1990,1990,3,1,1,995,3200,0,0,0,0,0,512,0,0,3712,8696,-4984,8696,0,0,0,485,0,0,485,0,40,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,LAURA PAWEL DANCE COMPANY,NEW YORK,NY,10023-3402,Z,Z99,0.7316590000000001,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197701.0,199012,199012,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,15 W 72ND ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,,
4279,132874863,1990,1989,2,2,4,995,61567,865,0,0,0,0,120545,26245,0,182977,179446,3531,177349,0,0,120545,13352,0,6347,13352,0,478,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,FIJI THEATRE COMPANY,NEW YORK,NY,10012-1114,A,A6F,0.763278,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,15.0,,197611.0,199006,199006,NY,10012.0,NEW YORK,PC,O,AR,A,IN,,6,0.0,0.0,47 GREAT JONES STREET,1.0,0.0,1200.0,% PING CHONG,1.0,13.0,10.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A65,A,,,
4300,132893085,1990,1989,3,2,1,92,0,1755,0,0,0,0,540,0,0,2295,1680,615,1680,1755,35,0,21298,0,0,21298,998,1033,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NEW YORK DRAMA CRITIC CIRCLE,NEW YORK,NY,10017-5617,Z,Z99,0.95899,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197710.0,199009,199009,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,9,0.0,0.0,655 THIRD AVE,3.0,0.0,2000.0,% ROSENZWEIG & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
4305,132896424,1990,1989,3,3,3,122,72700,2192,0,0,0,0,0,0,57231,74892,68104,6788,57231,0,0,0,30607,0,17910,30607,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,LIVING ARCHIVES,NEW YORK,NY,10024-1125,Z,Z99,0.835435,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,15.0,,197710.0,199010,199010,NY,10024.0,NEW YORK,PC,O,UN,Z,IN,,10,0.0,0.0,262 W 91ST ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,,
4312,132898805,1990,1989,2,6,4,119,311124,2004,70922,0,0,0,4572,10208,0,388622,358332,30290,353707,72926,1459,76274,1044321,0,70737,1019529,0,45532,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,PUBLIC ART FND,NEW YORK,NY,10022-4201,Z,Z99,0.337398,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,15.0,,197707.0,199006,199006,NY,10022.0,NEW YORK,PC,O,UN,Z,IN,,6,123.0,429.0,1 E 53RD ST 11TH FL,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A1240,A,,,
4384,132958531,1990,1989,3,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,CHAMBER PLAYERS LIMITED,NEW YORK,NY,10108-0346,Z,Z99,0.465276,36061.0,10108.0,10108.0,5602.0,5600.0,36061.0,4.0,,7810.0,199011,199011,NY,10108.0,NEW YORK,PF,O,UN,Z,IN,,11,90.0,0.0,PO BOX 2335,3.0,198311.0,1200.0,% CHRIS EREDE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
4416,132975183,1989,1989,3,1,1,995,0,102,0,0,0,0,0,0,2600,102,3017,-2915,2600,102,2,0,340,0,0,340,0,0,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NEW CHAMBER ENSEMBLE,NEW YORK,NY,10024-1309,Z,Z99,0.556721,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10024.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A6C,A,,,
